_id,partner,course,skills,rating,reviewCount,level,certificateType,duration,creditEligibility
66fe20076f4453256b07a97f,The George Washington University,Essentials in Clinical Simulations Across the Health Professions,[' Training'],4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a980,University of Geneva,Troubles du spectre de l'autisme : diagnostic,['(696 reviews)'],4.9,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a981,IBM,Developing Front-End Apps with React,"[' Javascript', ' React (web framework)', ' Web Development']",4.3,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a982,University of Michigan,Python Classes and Inheritance,"[' Computer Programming', ' Python Programming']",4.7,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a983,University of Glasgow ,Diversity and Inclusion in Education,[' Leadership and Management'],4.8,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a984,IBM,Deep Neural Networks with PyTorch,"[' Human Learning', ' Machine Learning', ' Deep Learning', ' Python Programming', ' Artificial Neural Networks', ' Machine Learning Algorithms', ' Applied Machine Learning', ' Algorithms', ' Regression', ' Statistical Machine Learning']",4.4,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a985,DeepLearning.AI,Natural Language Processing with Sequence Models,"[' Artificial Neural Networks', ' Deep Learning', ' Machine Learning', ' Natural Language Processing', ' Statistical Programming', ' Python Programming']",4.5,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a986,École Polytechnique Fédérale de Lausanne,Effective Programming in Scala,"[' Computer Programming', ' Scala Programming', ' Software Testing']",4.7,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a987,University of Geneva,Precision Medicine,['(227 reviews)'],4.4,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a988,IBM,Developing AI Applications with Python and Flask,"[' Application Development', ' Computer Programming', ' Python Programming']",4.4,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a989,University of Michigan,"Python Project: pillow, tesseract, and opencv","[' Computer Programming', ' Python Programming']",4.0,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a98a,University of Illinois at Urbana-Champaign,"Federal Taxation I: Individuals, Employees, and Sole Proprietors","[' Accounting', ' Taxes', ' Critical Thinking', ' Finance', ' Financial Accounting', ' General Accounting', ' Problem Solving', ' Regulations and Compliance', ' Generally Accepted Accounting Principles (GAAP)', ' Benefits']",4.9,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a98b,Yale University,Introduction to Medical Software,"[' Software Engineering', ' Software Testing', ' Entrepreneurship', ' User Research']",4.8,0,Intermediate , Course , 3 - 6 Months,False
66fe20076f4453256b07a98c,Columbia University,Introduction to Financial Engineering and Risk Management,"[' Finance', ' Mathematics', ' Probability & Statistics', ' Risk Management', ' Securities Sales', ' Securities Trading']",4.6,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a98d,Starweaver,Relationship Management and Business Development,"[' Business Development', ' Customer Relationship Management', ' Leadership and Management']",4.6,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a98e,University of Michigan,Introduction to Data Science in Python,"[' Computer Programming', ' Data Analysis', ' Data Management', ' Python Programming', ' Statistical Programming', ' Data Mining', ' Extract', ' Transform', ' Load', ' Computer Programming Tools', ' Critical Thinking', ' Exploratory Data Analysis', ' General Statistics']",4.5,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a98f,JetBrains,Kotlin for Java Developers,"[' Computer Programming', ' Programming Principles', ' Algorithms', ' Data Structures', ' Problem Solving', ' Computational Logic', ' Mathematics', ' Software Engineering']",4.7,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a990,University of Geneva,Water Cooperation and Diplomacy,[' Negotiation'],0.0,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a991,Emory University,Finance for Non-Financial Managers,"[' Accounting', ' Finance', ' Financial Analysis', ' Financial Accounting', ' General Accounting', ' Financial Management', ' Generally Accepted Accounting Principles (GAAP)', ' Leadership and Management', ' Business Analysis', ' Data Analysis']",4.4,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a992,HEC Paris,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers,"[' Finance', ' Investment Management', ' Leadership and Management', ' Financial Analysis', ' Financial Management', ' Mathematics', ' Risk Management', ' Statistical Analysis', ' Market Analysis', ' Correlation And Dependence']",4.6,0,Intermediate , Course , 1 - 4 Weeks,False
66fe20076f4453256b07a993,University of Pennsylvania,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,"[' General Statistics', ' Probability & Statistics', ' Statistical Tests', ' Data Analysis', ' Statistical Analysis', ' Experiment', ' Probability Distribution', ' R Programming', ' Regression', ' Statistical Programming']",4.7,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a994,University of California San Diego,Algorithmic Toolbox,"[' Algorithms', ' Computer Programming', ' Problem Solving', ' Theoretical Computer Science', ' Computational Thinking', ' Critical Thinking', ' Computer Programming Tools', ' Computational Logic', ' Data Structures', ' Programming Principles', ' Software Testing']",4.6,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a995,University of Western Australia,Blood Film Morphology - A Practical Guide,['(50 reviews)'],4.8,0,Intermediate , Course , 1 - 3 Months,False
66fe20076f4453256b07a996,IBM,"Introduction to Containers w/ Docker, Kubernetes & OpenShift","[' Kubernetes', ' Docker (Software)', ' Cloud Computing']",4.4,0,Intermediate , Course , 1 - 3 Months,False
